"StateFIPS","State","CountyFIPS","County","Year","Value","Data Comment",
"04","Arizona","04001","Apache","2011","42.0","",
"04","Arizona","04001","Apache","2012","41.0","",
"04","Arizona","04001","Apache","2013","39.3","",
"04","Arizona","04001","Apache","2014","38.5","",
"04","Arizona","04001","Apache","2015","39.0","",
"04","Arizona","04001","Apache","2016","38.2","",
"04","Arizona","04001","Apache","2017","34.0","",
"04","Arizona","04001","Apache","2018","36.6","",
"04","Arizona","04001","Apache","2019","30.0","",
"04","Arizona","04001","Apache","2020","21.8","",
"04","Arizona","04001","Apache","2021","20.2","",
"04","Arizona","04003","Cochise","2011","33.4","",
"04","Arizona","04003","Cochise","2012","35.4","",
"04","Arizona","04003","Cochise","2013","30.5","",
"04","Arizona","04003","Cochise","2014","33.2","",
"04","Arizona","04003","Cochise","2015","33.9","",
"04","Arizona","04003","Cochise","2016","34.5","",
"04","Arizona","04003","Cochise","2017","30.8","",
"04","Arizona","04003","Cochise","2018","32.0","",
"04","Arizona","04003","Cochise","2019","30.5","",
"04","Arizona","04003","Cochise","2020","20.1","",
"04","Arizona","04003","Cochise","2021","22.2","",
"04","Arizona","04005","Coconino","2011","37.2","",
"04","Arizona","04005","Coconino","2012","37.8","",
"04","Arizona","04005","Coconino","2013","34.4","",
"04","Arizona","04005","Coconino","2014","34.4","",
"04","Arizona","04005","Coconino","2015","33.1","",
"04","Arizona","04005","Coconino","2016","32.0","",
"04","Arizona","04005","Coconino","2017","30.8","",
"04","Arizona","04005","Coconino","2018","27.9","",
"04","Arizona","04005","Coconino","2019","25.7","",
"04","Arizona","04005","Coconino","2020","20.0","",
"04","Arizona","04005","Coconino","2021","19.3","",
"04","Arizona","04007","Gila","2011","40.5","",
"04","Arizona","04007","Gila","2012","45.9","",
"04","Arizona","04007","Gila","2013","41.0","",
"04","Arizona","04007","Gila","2014","42.9","",
"04","Arizona","04007","Gila","2015","42.5","",
"04","Arizona","04007","Gila","2016","40.1","",
"04","Arizona","04007","Gila","2017","39.2","",
"04","Arizona","04007","Gila","2018","36.7","",
"04","Arizona","04007","Gila","2019","35.7","",
"04","Arizona","04007","Gila","2020","22.3","",
"04","Arizona","04007","Gila","2021","24.8","",
"04","Arizona","04009","Graham","2011","35.5","",
"04","Arizona","04009","Graham","2012","36.6","",
"04","Arizona","04009","Graham","2013","32.7","",
"04","Arizona","04009","Graham","2014","34.1","",
"04","Arizona","04009","Graham","2015","34.7","",
"04","Arizona","04009","Graham","2016","33.7","",
"04","Arizona","04009","Graham","2017","30.7","",
"04","Arizona","04009","Graham","2018","31.1","",
"04","Arizona","04009","Graham","2019","29.6","",
"04","Arizona","04009","Graham","2020","21.3","",
"04","Arizona","04009","Graham","2021","22.6","",
"04","Arizona","04011","Greenlee","2011","47.3","",
"04","Arizona","04011","Greenlee","2012","43.5","",
"04","Arizona","04011","Greenlee","2013","41.8","",
"04","Arizona","04011","Greenlee","2014","43.1","",
"04","Arizona","04011","Greenlee","2015","37.5","",
"04","Arizona","04011","Greenlee","2016","38.5","",
"04","Arizona","04011","Greenlee","2017","35.7","",
"04","Arizona","04011","Greenlee","2018","38.9","",
"04","Arizona","04011","Greenlee","2019","33.7","",
"04","Arizona","04011","Greenlee","2020","25.1","",
"04","Arizona","04011","Greenlee","2021","28.2","",
"04","Arizona","04012","La Paz","2011","47.0","",
"04","Arizona","04012","La Paz","2012","51.0","",
"04","Arizona","04012","La Paz","2013","46.8","",
"04","Arizona","04012","La Paz","2014","47.8","",
"04","Arizona","04012","La Paz","2015","47.6","",
"04","Arizona","04012","La Paz","2016","43.9","",
"04","Arizona","04012","La Paz","2017","43.8","",
"04","Arizona","04012","La Paz","2018","39.8","",
"04","Arizona","04012","La Paz","2019","40.4","",
"04","Arizona","04012","La Paz","2020","24.9","",
"04","Arizona","04012","La Paz","2021","26.0","",
"04","Arizona","04013","Maricopa","2011","39.6","",
"04","Arizona","04013","Maricopa","2012","44.7","",
"04","Arizona","04013","Maricopa","2013","39.7","",
"04","Arizona","04013","Maricopa","2014","41.4","",
"04","Arizona","04013","Maricopa","2015","41.3","",
"04","Arizona","04013","Maricopa","2016","39.1","",
"04","Arizona","04013","Maricopa","2017","37.8","",
"04","Arizona","04013","Maricopa","2018","35.7","",
"04","Arizona","04013","Maricopa","2019","35.2","",
"04","Arizona","04013","Maricopa","2020","22.1","",
"04","Arizona","04013","Maricopa","2021","24.3","",
"04","Arizona","04015","Mohave","2011","53.0","",
"04","Arizona","04015","Mohave","2012","56.7","",
"04","Arizona","04015","Mohave","2013","53.8","",
"04","Arizona","04015","Mohave","2014","52.7","",
"04","Arizona","04015","Mohave","2015","52.3","",
"04","Arizona","04015","Mohave","2016","46.4","",
"04","Arizona","04015","Mohave","2017","45.4","",
"04","Arizona","04015","Mohave","2018","41.6","",
"04","Arizona","04015","Mohave","2019","42.9","",
"04","Arizona","04015","Mohave","2020","27.5","",
"04","Arizona","04015","Mohave","2021","26.4","",
"04","Arizona","04017","Navajo","2011","39.3","",
"04","Arizona","04017","Navajo","2012","34.0","",
"04","Arizona","04017","Navajo","2013","31.5","",
"04","Arizona","04017","Navajo","2014","32.6","",
"04","Arizona","04017","Navajo","2015","32.2","",
"04","Arizona","04017","Navajo","2016","31.9","",
"04","Arizona","04017","Navajo","2017","29.1","",
"04","Arizona","04017","Navajo","2018","27.4","",
"04","Arizona","04017","Navajo","2019","24.7","",
"04","Arizona","04017","Navajo","2020","20.4","",
"04","Arizona","04017","Navajo","2021","21.1","",
"04","Arizona","04019","Pima","2011","39.6","",
"04","Arizona","04019","Pima","2012","44.8","",
"04","Arizona","04019","Pima","2013","39.7","",
"04","Arizona","04019","Pima","2014","41.6","",
"04","Arizona","04019","Pima","2015","41.5","",
"04","Arizona","04019","Pima","2016","39.4","",
"04","Arizona","04019","Pima","2017","38.2","",
"04","Arizona","04019","Pima","2018","36.3","",
"04","Arizona","04019","Pima","2019","35.7","",
"04","Arizona","04019","Pima","2020","22.2","",
"04","Arizona","04019","Pima","2021","24.7","",
"04","Arizona","04021","Pinal","2011","39.8","",
"04","Arizona","04021","Pinal","2012","44.9","",
"04","Arizona","04021","Pinal","2013","39.6","",
"04","Arizona","04021","Pinal","2014","41.7","",
"04","Arizona","04021","Pinal","2015","41.9","",
"04","Arizona","04021","Pinal","2016","39.8","",
"04","Arizona","04021","Pinal","2017","38.7","",
"04","Arizona","04021","Pinal","2018","36.5","",
"04","Arizona","04021","Pinal","2019","35.8","",
"04","Arizona","04021","Pinal","2020","22.4","",
"04","Arizona","04021","Pinal","2021","24.9","",
"04","Arizona","04023","Santa Cruz","2011","32.8","",
"04","Arizona","04023","Santa Cruz","2012","34.6","",
"04","Arizona","04023","Santa Cruz","2013","30.2","",
"04","Arizona","04023","Santa Cruz","2014","32.3","",
"04","Arizona","04023","Santa Cruz","2015","33.1","",
"04","Arizona","04023","Santa Cruz","2016","34.0","",
"04","Arizona","04023","Santa Cruz","2017","30.5","",
"04","Arizona","04023","Santa Cruz","2018","31.7","",
"04","Arizona","04023","Santa Cruz","2019","30.6","",
"04","Arizona","04023","Santa Cruz","2020","20.1","",
"04","Arizona","04023","Santa Cruz","2021","22.1","",
"04","Arizona","04025","Yavapai","2011","41.5","",
"04","Arizona","04025","Yavapai","2012","46.9","",
"04","Arizona","04025","Yavapai","2013","41.7","",
"04","Arizona","04025","Yavapai","2014","43.5","",
"04","Arizona","04025","Yavapai","2015","43.0","",
"04","Arizona","04025","Yavapai","2016","40.7","",
"04","Arizona","04025","Yavapai","2017","40.3","",
"04","Arizona","04025","Yavapai","2018","37.3","",
"04","Arizona","04025","Yavapai","2019","36.5","",
"04","Arizona","04025","Yavapai","2020","22.6","",
"04","Arizona","04025","Yavapai","2021","25.1","",
"04","Arizona","04027","Yuma","2011","41.4","",
"04","Arizona","04027","Yuma","2012","46.5","",
"04","Arizona","04027","Yuma","2013","41.1","",
"04","Arizona","04027","Yuma","2014","43.3","",
"04","Arizona","04027","Yuma","2015","43.0","",
"04","Arizona","04027","Yuma","2016","40.8","",
"04","Arizona","04027","Yuma","2017","39.8","",
"04","Arizona","04027","Yuma","2018","37.3","",
"04","Arizona","04027","Yuma","2019","37.0","",
"04","Arizona","04027","Yuma","2020","22.4","",
"04","Arizona","04027","Yuma","2021","24.7","",
"06","California","06001","Alameda","2011","50.0","",
"06","California","06001","Alameda","2012","50.5","",
"06","California","06001","Alameda","2013","48.8","",
"06","California","06001","Alameda","2014","48.3","",
"06","California","06001","Alameda","2015","49.0","",
"06","California","06001","Alameda","2016","43.2","",
"06","California","06001","Alameda","2017","45.6","",
"06","California","06001","Alameda","2018","40.5","",
"06","California","06001","Alameda","2019","38.8","",
"06","California","06001","Alameda","2020","22.4","",
"06","California","06001","Alameda","2021","21.4","",
"06","California","06003","Alpine","2011","37.0","",
"06","California","06003","Alpine","2012","39.0","",
"06","California","06003","Alpine","2013","41.3","",
"06","California","06003","Alpine","2014","39.7","",
"06","California","06003","Alpine","2015","37.9","",
"06","California","06003","Alpine","2016","34.9","",
"06","California","06003","Alpine","2017","38.1","",
